product_id,store_name,state,zipcode,qty,sales,import_order,created_time
GL22BLKS1,LOWE'S OF CONROE, TX,TX,77304,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF E. VIRGINIA BEACH, VA,VA,23454,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ELIZABETH CITY, NC,NC,27909,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF VIRGINIA BEACH, VA,VA,23452,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. CHESAPEAKE, VA,VA,23321,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PORTSMOUTH, VA,VA,23701,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF NEWPORT NEWS, VA,VA,23602,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CHESAPEAKE, VA,VA,23320,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HAMPTON, VA,VA,23666,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF NORFOLK, VA,VA,23502,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SUFFOLK, VA,VA,23434,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ATASCOCITA, TX,TX,77346,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF KINGWOOD, TX,TX,77339,10,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BUNKER HILL, TX,TX,77055,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ROSENBERG, TX,TX,77471,13,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF KATY, TX,TX,77094,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MISSOURI CITY, TX,TX,77459,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CINCO RANCH (KATY), TX,TX,77494,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF COPPERFIELD, TX,TX,77095,27,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ROYAL OAKS, TX,TX,77077,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CYPRESS, TX,TX,77429,2,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SUGAR LAND, TX,TX,77479,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF RENTON, WA,WA,98055,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TUKWILA, WA,WA,98188,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BREMERTON, WA,WA,98311,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SILVERDALE, WA,WA,98383,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BURLINGTON, IA,IA,52601,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SPRINGFIELD, IL,IL,62704,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GALESBURG, IL,IL,61401,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. SPRINGFIELD, IL,IL,62702,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF DECATUR, IL,IL,62535,2,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF E. PEORIA, IL,IL,61611,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF DAVENPORT, IA,IA,52807,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PEORIA, IL,IL,61615,10,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MOLINE, IL,IL,61265,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BLOOMINGTON, IL,IL,61704,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF E. BATON ROUGE, LA,LA,70816,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF THIBODAUX, LA,LA,70301,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF COVINGTON, LA,LA,70433,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GONZALES, LA,LA,70737,37,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF NEW IBERIA, LA,LA,70560,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. LAFAYETTE, LA,LA,70507,34,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. BATON ROUGE, LA,LA,70815,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HAMMOND, LA,LA,70401,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HOUMA, LA,LA,70360,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. BATON ROUGE, LA,LA,70809,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CARTERSVILLE, GA,GA,30120,34,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ALPHARETTA, GA,GA,30004,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF AUSTELL, GA,GA,30106,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SANDY SPRINGS, GA,GA,30328,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. MARIETTA, GA,GA,30064,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF WOODSTOCK, GA,GA,30189,2,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. ALPHARETTA, GA,GA,30004,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ACWORTH, GA,GA,30152,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ROME, GA,GA,30165,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CANTON, GA,GA,30114,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SPRING, TX,TX,77388,35,0,1,2024-12-27 00:10:25
